"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @JackTreseler","@JackTreseler follows"
pewdiepie,"Felix Kjellberg",,"8,448,159",617,"12 May 2009 16:41:07",253,"15 Aug 2016 20:46:58","swedish, vegan, minecraft player, csgo lotto ceo, currently working on bear simulator 2, follow 4 #positivecoremessage",http://www.youtube.com/pewdiepie,27,9,52.5,96.4,,
yelyahwilliams,"hayley from Paramore","Nashville, TN","4,521,252",633,"18 May 2009 22:08:38","34,404","11 Aug 2016 20:42:20","former member of the official nsync fan club.......... current member of @paramore........................... Founder & CEO of @goodDYEyoung.",http://gooddyeyoung.com,38,22.5,33,93,,
souljaboy,"Soulja Boy aka Dre","Atlanta, GA","4,890,513","3,340","17 Oct 2008 17:09:15","114,290","16 Aug 2016 03:59:28","CEO of @SBeezyLights | Star of Love & Hiphop Hollywood August 15 @vh1 snapchat: souljaboysodmg | management: @ceomiamimike erica@theprcircle.com | #SODMG #LHHH",http://www.cash.me/$SouljaBoySODMG,13.5,36.5,1.5,91.2,,
DavidKWilliams,DavidKWilliams,global,"3,729,824","5,449","23 Apr 2009 20:20:53","27,705","11 Aug 2016 14:31:12","#CEO Int. Award Winning @Fishbowl #CAMFoundation #Journalist #Forbes #HarvardBusinessReview #Author #BestSeller http://www.7NNs.com #7NonNegotiables NO DM's",http://www.fishbowlinventory.com/vip/,37.5,62.5,0,91,,
workwthecoach,"Nathan Allen","Beverly Hills, CA","1,002,301","46,976","14 Mar 2015 02:06:20","20,632","15 Aug 2016 21:16:45","CEO of Work With The Coach - Digital Marketing, Radar music/ pictures executive (Influencer) follow me on IG http://Instagram.com/workwiththecoach",http://workwthecoach.com,10.1,63.8,22.6,90.9,,
rolandsmartin,rolandsmartin,"Washington, D.C.","403,880","2,460","03 Sep 2008 17:35:09","276,406","16 Aug 2016 03:10:09","Host/managing editor of TV One's daily morning show, NewsOne Now; senior analyst, Tom Joyner Morning Show; author; international speaker; CEO, Nu Vision Media",http://www.rolandsmartin.com/blog,10.5,82.5,4,89.7,,
CassperNyovest,FillUpOrlandoStadium,"Johannesburg South Africa","612,303","1,111","26 Aug 2010 15:05:39","109,215","14 Aug 2016 09:57:07","•Child of God •Ceo of Family Tree •Award winning artist •Sexy Chubby Nigga •JikaMajika Winner •Recovering Oros Addict •Pantsula4life •Bookings:nyovest@gmail.com",,45.5,41,1.5,89.3,,
taeccool,"taec yeon ok",,"2,168,204",187,"10 Jun 2010 08:34:26","3,624","08 Aug 2016 15:17:05","가수, 연기자, 작곡가, 옥캣사장, a singer-songwriter, an actor, CEO of Okcat",,51.3,7,51.8,89.3,,
alphabetsuccess,"Tim Fargo","2x Inc. 500 winner","381,919","317,272","09 Oct 2010 17:40:24","469,392","15 Aug 2016 23:35:05","CEO of Tweet Jukebox. #socialtool Quotes, interaction #twittertips #SMM and #socialmedia thoughts here. Sign-up now for http://tweetjukebox.com",http://tweetjukebox.com,50,2.5,0,88.5,,
kobebryant,"Kobe Bryant",,"10,209,511",232,"04 Jan 2013 01:09:40","1,096","10 Aug 2016 22:58:25","CEO Kobe Inc. Publisher. Investor. Producer.",http://www.kobebryant.com,44,17,4,88,,
